employer_id,in_network_npis
69873,"1699797928, 1902020159, 1669433447, 1467490763, 1285651026, 1992787402, 1801878327, 1205818457, 1063494227, 1902012800, 1265415814, 1790768836, 1255504981, 1437132891, 1225221047, 139672875"
80914,"1902020159, 1669433447, 1467490763, 1992787402, 1801878327, 1205818457, 1285616433, 1346549953, 1861499451, 1376541326, 1265415814, 1437132891, 1073757183, 1700846227, 1225221047, 139672875"
54011,"1669433447, 1467490763, 1285651026, 1992787402, 1801878327, 1205818457, 1902012800, 1285616433, 1346549953, 1861499451, 1265415814, 1790768836, 1255504981, 1437132891, 1073757183, 1174543573, 1700846227, 1225221047, 139672875"
